t, v
-0.007895, 0.079492
-0.007897, 0.102588
-0.007899, 0.102588
-0.007900, 0.102588
-0.007902, 0.102588
-0.007903, 0.125684
-0.007905, 0.125684
-0.007907, 0.125684
-0.007908, 0.125684
-0.007910, 0.171875
-0.007912, 0.171875
-0.007913, 0.171875
-0.007915, 0.171875
-0.007917, 0.171875
-0.007918, 0.171875
-0.007920, 0.171875
-0.007921, 0.218066
-0.007923, 0.218066
-0.007925, 0.218066
-0.007926, 0.194971
-0.007928, 0.194971
-0.007930, 0.241162
-0.007931, 0.241162
-0.007933, 0.218066
-0.007935, 0.194971
-0.007936, 0.194971
-0.007938, 0.264258
-0.007940, 0.264258
-0.007941, 0.264258
-0.007943, 0.218066
-0.007944, 0.218066
-0.007946, 0.310449
-0.007948, 0.310449
-0.007949, 0.310449
-0.007951, 0.264258
-0.007953, 0.264258
-0.007954, 0.356641
-0.007956, 0.379736
-0.007958, 0.379736
-0.007959, 0.333545
-0.007961, 0.402832
-0.007963, 0.402832
-0.007964, 0.425928
-0.007966, 0.425928
-0.007967, 0.425928
-0.007969, 0.449023
-0.007971, 0.449023
-0.007972, 0.472119
-0.007974, 0.472119
-0.007976, 0.495215
-0.007977, 0.472119
-0.007979, 0.472119
-0.007981, 0.472119
-0.007982, 0.518311
-0.007984, 0.518311
-0.007986, 0.541406
-0.007987, 0.541406
-0.007989, 0.518311
-0.007990, 0.564502
-0.007992, 0.564502
-0.007994, 0.564502
-0.007995, 0.564502
-0.007997, 0.541406
-0.007999, 0.633789
-0.008000, 0.633789
-0.008002, 0.587598
-0.008004, 0.587598
-0.008005, 0.656885
-0.008007, 0.679980
-0.008009, 0.679980
-0.008010, 0.656885
-0.008012, 0.726172
-0.008013, 0.726172
-0.008015, 0.726172
-0.008017, 0.726172
-0.008018, 0.749268
-0.008020, 0.772363
-0.008022, 0.772363
-0.008023, 0.772363
-0.008025, 0.772363
-0.008027, 0.818555
-0.008028, 0.841650
-0.008030, 0.841650
-0.008032, 0.841650
-0.008033, 0.887842
-0.008035, 0.887842
-0.008036, 0.887842
-0.008038, 0.887842
-0.008040, 0.887842
-0.008041, 0.910937
-0.008043, 0.910937
-0.008045, 0.934033
-0.008046, 0.934033
-0.008048, 0.934033
-0.008050, 0.934033
-0.008051, 0.934033
-0.008053, 0.980225
-0.008054, 0.980225
-0.008056, 0.980225
-0.008058, 0.910937
-0.008059, 0.910937
-0.008061, 1.049512
-0.008063, 1.026416
-0.008064, 1.026416
-0.008066, 0.957129
-0.008068, 0.957129
-0.008069, 1.095703
-0.008071, 1.072607
-0.008073, 1.072607
-0.008074, 1.049512
-0.008076, 1.049512
-0.008077, 1.141895
-0.008079, 1.141895
-0.008081, 1.141895
-0.008082, 1.141895
-0.008084, 1.211182
-0.008086, 1.211182
-0.008087, 1.211182
-0.008089, 1.211182
-0.008091, 1.211182
-0.008092, 1.280469
-0.008094, 1.280469
-0.008096, 1.280469
-0.008097, 1.280469
-0.008099, 1.303564
-0.008100, 1.303564
-0.008102, 1.303564
-0.008104, 1.326660
-0.008105, 1.349756
-0.008107, 1.349756
-0.008109, 1.372852
-0.008110, 1.372852
-0.008112, 1.372852
-0.008114, 1.419043
-0.008115, 1.419043
-0.008117, 1.419043
-0.008119, 1.419043
-0.008120, 1.395947
-0.008122, 1.465234
-0.008123, 1.465234
-0.008125, 1.488330
-0.008127, 1.488330
-0.008128, 1.442139
-0.008130, 1.488330
-0.008132, 1.488330
-0.008133, 1.488330
-0.008135, 1.465234
-0.008137, 1.465234
-0.008138, 1.557617
-0.008140, 1.557617
-0.008142, 1.557617
-0.008143, 1.557617
-0.008145, 1.557617
-0.008146, 1.580713
-0.008148, 1.580713
-0.008150, 1.603809
-0.008151, 1.626904
-0.008153, 1.626904
-0.008155, 1.650000
-0.008156, 1.650000
-0.008158, 1.650000
-0.008160, 1.673096
-0.008161, 1.673096
-0.008163, 1.696191
-0.008164, 1.696191
-0.008166, 1.696191
-0.008168, 1.719287
-0.008169, 1.719287
-0.008171, 1.696191
-0.008173, 1.719287
-0.008174, 1.719287
-0.008176, 1.719287
-0.008178, 1.765479
-0.008179, 1.765479
-0.008181, 1.765479
-0.008183, 1.765479
-0.008184, 1.742383
-0.008186, 1.788574
-0.008187, 1.788574
-0.008189, 1.788574
-0.008191, 1.788574
-0.008192, 1.742383
-0.008194, 1.857861
-0.008196, 1.857861
-0.008197, 1.857861
-0.008199, 1.857861
-0.008201, 1.811670
-0.008202, 1.857861
-0.008204, 1.857861
-0.008206, 1.880957
-0.008207, 1.857861
-0.008209, 1.857861
-0.008210, 1.880957
-0.008212, 1.880957
-0.008214, 1.904053
-0.008215, 1.927148
-0.008217, 1.927148
-0.008219, 1.950244
-0.008220, 1.950244
-0.008222, 1.950244
-0.008224, 1.950244
-0.008225, 1.950244
-0.008227, 1.950244
-0.008229, 1.973340
-0.008230, 1.973340
-0.008232, 1.996436
-0.008233, 1.996436
-0.008235, 1.973340
-0.008237, 1.973340
-0.008238, 1.973340
-0.008240, 2.019531
-0.008242, 2.019531
-0.008243, 1.996436
-0.008245, 1.996436
-0.008247, 1.996436
-0.008248, 2.019531
-0.008250, 2.019531
-0.008252, 2.019531
-0.008253, 1.996436
-0.008255, 1.996436
-0.008256, 2.065723
-0.008258, 2.042627
-0.008260, 2.042627
-0.008261, 2.042627
-0.008263, 2.042627
-0.008265, 2.065723
-0.008266, 2.065723
-0.008268, 2.065723
-0.008270, 2.065723
-0.008271, 2.065723
-0.008273, 2.065723
-0.008275, 2.065723
-0.008276, 2.065723
-0.008278, 2.088818
-0.008279, 2.088818
-0.008281, 2.088818
-0.008283, 2.065723
-0.008284, 2.065723
-0.008286, 2.088818
-0.008288, 2.088818
-0.008289, 2.088818
-0.008291, 2.088818
-0.008293, 2.088818
-0.008294, 2.111914
-0.008296, 2.111914
-0.008297, 2.111914
-0.008299, 2.088818
-0.008301, 2.111914
-0.008302, 2.111914
-0.008304, 2.088818
-0.008306, 2.088818
-0.008307, 2.111914
-0.008309, 2.111914
-0.008311, 2.111914
-0.008312, 2.088818
-0.008314, 2.088818
-0.008316, 2.088818
-0.008317, 2.111914
-0.008319, 2.111914
-0.008320, 2.088818
-0.008322, 2.111914
-0.008324, 2.111914
-0.008325, 2.088818
-0.008327, 2.088818
-0.008329, 2.088818
-0.008330, 2.088818
-0.008332, 2.088818
-0.008334, 2.111914
-0.008335, 2.111914
-0.008337, 2.065723
-0.008339, 2.088818
-0.008340, 2.088818
-0.008342, 2.065723
-0.008343, 2.065723
-0.008345, 2.042627
-0.008347, 2.065723
-0.008348, 2.065723
-0.008350, 2.042627
-0.008352, 2.042627
-0.008353, 2.042627
-0.008355, 2.042627
-0.008357, 2.042627
-0.008358, 2.042627
-0.008360, 2.019531
-0.008362, 2.019531
-0.008363, 2.019531
-0.008365, 2.019531
-0.008366, 2.019531
-0.008368, 2.019531
-0.008370, 2.019531
-0.008371, 2.042627
-0.008373, 1.996436
-0.008375, 1.996436
-0.008376, 1.996436
-0.008378, 1.996436
