Type;Reference;Mounting; Value;Qty; Footprint; Datasheet
C;C6;SMD;Electrolytic 4mm 33uF;2;Capacitors_SMD:c_elec_5x5.3;
C;C9;SMD;Electrolytic 4mm 33uF;2;Capacitors_SMD:c_elec_4x5.3;
C;C15;Thru Hole;Electrolytic 6.3mm 220uF;1;Capacitors_ThroughHole:C_Radial_D6.3_L11.2_P2.5;
C;C1;SMD;SMD MLCC 1uF 16V 0603;12;Capacitors_SMD:C_0603;
C;C2;SMD;SMD MLCC 1uF 16V 0603;12;Capacitors_SMD:C_0603;
C;C3;SMD;SMD MLCC 1uF 16V 0603;12;Capacitors_SMD:C_0603;
C;C4;SMD;SMD MLCC 1uF 16V 0603;12;Capacitors_SMD:C_0603;
C;C5;SMD;SMD MLCC 1uF 16V 0603;12;Capacitors_SMD:C_0603;
C;C7;SMD;SMD MLCC 1uF 16V 0603;12;Capacitors_SMD:C_0603;
C;C8;SMD;SMD MLCC 1uF 16V 0603;12;Capacitors_SMD:C_0603;
C;C10;SMD;SMD MLCC 1uF 16V 0603;12;Capacitors_SMD:C_0603;
C;C11;SMD;SMD MLCC 1uF 16V 0603;12;Capacitors_SMD:C_0603;
C;C13;SMD;SMD MLCC 1uF 16V 0603;12;Capacitors_SMD:C_0603;
C;C14;SMD;SMD MLCC 1uF 16V 0603;12;Capacitors_SMD:C_0603;
C;C16;SMD;SMD MLCC 1uF 16V 0603;12;Capacitors_SMD:C_0603;
D;D1;Thru Hole;Schottky 0.45V 1A;1;Diodes_ThroughHole:Diode_DO-41_SOD81_Horizontal_RM10;
F;F1;SMD;PTC 400mA;1;Capacitors_SMD:C_1206;
IC;IC1;SMD;QFN ATXMEGA16A4U-A;1;Housings_QFP:LQFP-44_10x10mm_Pitch0.8mm;
L;L2;SMD;10uH 1210;2;Resistors_SMD:R_1210;
L;L3;SMD;10uH 1210;2;Resistors_SMD:R_1210;
L;L1;Thru Hole;Bourns Radial 220uH;1;Inductors:INDUCTOR_V;
P;P8;Thru Hole;Feamle Header 1x2;5;Pin_Headers:Pin_Header_Straight_1x02;
